Radius1               | Radius2               | SB                        |   SBError         | BGRD                         |      BGRDError    | BinNo
              139.728 |               144.156 |         5.17558197282e-08 | 3.10966458567e-10 |             2.5807448503e-09 |  6.9439480789e-11 |         49 
              144.156 |               148.584 |         4.97661649649e-08 | 3.04563974146e-10 |            2.62623359835e-09 | 6.99645600225e-11 |         50 
              148.584 |               153.012 |          4.7942582009e-08 | 2.93251324557e-10 |             2.5941386999e-09 |  6.8214371553e-11 |         51 
              153.012 |                157.44 |         4.61537887185e-08 | 2.80373389336e-10 |            2.57482808174e-09 | 6.62227538837e-11 |         52 
               157.44 |               161.868 |         4.45318588674e-08 | 2.71627517591e-10 |             2.5965347915e-09 | 6.55896670161e-11 |         53 
              161.868 |               166.296 |         4.22798744724e-08 | 2.61044053382e-10 |            2.59891591791e-09 | 6.47206793074e-11 |         54 
              166.296 |               170.724 |         4.12044058231e-08 | 2.54739500952e-10 |            2.58213019776e-09 | 6.37695779233e-11 |         55 
              170.724 |               175.152 |         3.94416889653e-08 | 2.46038372657e-10 |            2.57944595534e-09 | 6.29199401629e-11 |         56 
              175.152 |                179.58 |          3.7691672439e-08 | 2.35491670301e-10 |            2.54585214991e-09 | 6.12025357122e-11 |         57 
               179.58 |               184.008 |         3.61692722052e-08 | 2.28382012123e-10 |            2.55154262509e-09 | 6.06587473988e-11 |         58 
              184.008 |               188.436 |         3.54007007498e-08 | 2.22804429461e-10 |            2.56331699009e-09 | 5.99541239557e-11 |         59 
              188.436 |               192.864 |         3.43986218016e-08 | 2.17706342261e-10 |            2.55111153218e-09 | 5.92877941204e-11 |         60 
              192.864 |               197.784 |         3.33291003741e-08 | 2.01110634491e-10 |            2.57163726646e-09 | 5.58634963151e-11 |         61 
              197.784 |               202.704 |         3.19092664672e-08 | 1.94461746995e-10 |            2.57094348559e-09 |  5.5197832356e-11 |         62 
              202.704 |               207.624 |         2.98796432601e-08 | 1.85456109792e-10 |            2.58321717554e-09 | 5.45297993492e-11 |         63 
              207.624 |               212.544 |         2.85535369488e-08 | 1.79130254838e-10 |            2.58167274122e-09 | 5.38628822639e-11 |         64 
              212.544 |               217.956 |          2.7109590483e-08 | 1.64154687938e-10 |            2.56012681848e-09 | 5.04455128709e-11 |         65 
              217.956 |               223.368 |         2.58424793268e-08 |  1.5803521496e-10 |            2.58140122485e-09 | 4.99475899223e-11 |         66 
              223.368 |                228.78 |         2.53057005019e-08 | 1.54525321429e-10 |            2.55647260968e-09 | 4.91146476371e-11 |         67 
               228.78 |               234.192 |         2.42485020397e-08 | 1.49690508766e-10 |            2.57624758791e-09 | 4.87916599888e-11 |         68 
              234.192 |               239.604 |         2.31991755624e-08 | 1.44696507966e-10 |            2.57420200516e-09 | 4.81995605021e-11 |         69 
              239.604 |               245.016 |         2.29731843045e-08 | 1.42562753287e-10 |            2.56869038181e-09 | 4.76706807934e-11 |         70 
              245.016 |               250.428 |         2.21600530453e-08 | 1.38526328168e-10 |             2.6113720949e-09 | 4.75533717043e-11 |         71 
              250.428 |               255.348 |         2.15859672092e-08 |  1.4219889902e-10 |            2.60451169927e-09 | 4.93939357461e-11 |         72 
              255.348 |               261.744 |         2.10156473978e-08 |  1.2244071671e-10 |            2.62297297916e-09 | 4.32565016899e-11 |         73 
              261.744 |               267.156 |         2.10796333251e-08 | 1.32345969222e-10 |            2.59489472318e-09 | 4.64343180578e-11 |         74 
              267.156 |               272.568 |         2.05470188681e-08 | 1.28467389527e-10 |            2.61878111164e-09 | 4.58635940831e-11 |         75 
              272.568 |                277.98 |         1.97276782381e-08 | 1.23710239905e-10 |            2.62703009953e-09 | 4.51440150323e-11 |         76 
               277.98 |               283.392 |         1.96050288403e-08 |  1.2185822312e-10 |              2.580079924e-09 | 4.42066584309e-11 |         77 
              283.392 |               288.804 |         1.90977376246e-08 | 1.20107308131e-10 |            2.61145758428e-09 | 4.44140065121e-11 |         78 
              288.804 |               294.216 |          1.8669748857e-08 | 1.16724995221e-10 |            2.62510066845e-09 | 4.37691003948e-11 |         79 
              294.216 |               299.628 |         1.83125965868e-08 | 1.14820407271e-10 |            2.64446644679e-09 | 4.36328062845e-11 |         80 
              299.628 |                305.04 |         1.78783126982e-08 | 1.12647406586e-10 |            2.62898757327e-09 | 4.31968622378e-11 |         81 
               305.04 |               310.452 |         1.76813852386e-08 | 1.10470618076e-10 |            2.64511349521e-09 | 4.27278251939e-11 |         82 
              310.452 |               316.356 |         1.68961437336e-08 | 1.02641485546e-10 |            2.60853925735e-09 | 4.03299621962e-11 |         83 
              316.356 |                322.26 |         1.64596519715e-08 | 1.01946213775e-10 |            2.61568660898e-09 | 4.06399959095e-11 |         84 
               322.26 |               328.164 |         1.59226382006e-08 | 9.84049027186e-11 |            2.62261845424e-09 | 3.99371225925e-11 |         85 
              328.164 |               334.068 |         1.54366254248e-08 |   9.566579184e-11 |            2.61040028405e-09 |   3.933997245e-11 |         86 
              334.068 |               339.972 |         1.51504489555e-08 | 9.54652562596e-11 |            2.63170250328e-09 | 3.97878993525e-11 |         87 
              339.972 |               345.876 |         1.50715149203e-08 | 9.44330007254e-11 |            2.63584699773e-09 |   3.949166609e-11 |         88 
              345.876 |                351.78 |         1.46877006971e-08 | 9.25104349472e-11 |            2.64285153556e-09 | 3.92419171596e-11 |         89 
               351.78 |               358.176 |         1.41834822709e-08 | 8.66701297246e-11 |            2.64328128134e-09 |  3.7415342066e-11 |         90 
              358.176 |                364.08 |         1.38847169228e-08 | 8.75657005792e-11 |            2.65664833615e-09 | 3.83029800043e-11 |         91 
               364.08 |               369.984 |         1.39575053484e-08 | 8.69860825991e-11 |            2.65724665205e-09 | 3.79543728653e-11 |         92 
              369.984 |               375.888 |         1.37667718346e-08 | 8.58969819172e-11 |            2.65310649369e-09 | 3.77084923494e-11 |         93 
              375.888 |               381.792 |         1.34533184514e-08 | 8.46127602727e-11 |            2.67964667665e-09 | 3.77624288915e-11 |         94 
              381.792 |               387.696 |         1.34748350524e-08 |  8.4303611448e-11 |            2.67733215555e-09 | 3.75781665411e-11 |         95 
              387.696 |                 393.6 |         1.32213431291e-08 | 8.36662841901e-11 |            2.69658616141e-09 | 3.77850356502e-11 |         96 
                393.6 |               399.996 |         1.29486089329e-08 | 7.89952389858e-11 |            2.70380621503e-09 | 3.60975008465e-11 |         97 
              399.996 |               406.392 |         1.26425781294e-08 | 7.68158741758e-11 |            2.73199569674e-09 | 3.57086289749e-11 |         98 
              406.392 |               412.296 |         1.26862056782e-08 | 8.00635200669e-11 |            2.73968237265e-09 | 3.72065071392e-11 |         99 
