# Fit results (zeros indicate that no fitting was performed)
 Reg_no. kT1 kT1_loerr kT1_hierr Z1 Z1_loerr Z1_hierr norm1 norm1_loerr norm1_hierr nH_Gal nH_loerr nH_hierr red_chisq total_counts num_bins model
      0 79.7349 -79.7349 79.7349  7.8218 -2.8439  2.8439 3.3522e-05 -5.4166e-06 5.4166e-06  0.3100  0.0000  0.0000 33.7420  12891.5      297     '1T'
      1 79.7945 -79.7945 79.7945  8.5210 -5.8693  5.8693 7.5365e-05 -2.4080e-05 2.4080e-05  0.3100  0.0000  0.0000 59.0809  28350.8      366     '1T'
      2  1.8159 -0.1277  0.1277  0.0392 -0.0250  0.0250 1.1982e-04 -7.0867e-06 7.0867e-06   0.3100  0.0000  0.0000  1.6390  21440.7      383  '1T_pow'
      3  1.9408 -0.1250  0.1250  0.0697 -0.0345  0.0345 1.1029e-04 -6.7661e-06 6.7661e-06   0.3100  0.0000  0.0000  1.4619  11611.4      318  '1T_pow'
      4  2.5837 -0.1225  0.1225  0.4169 -0.0811  0.0811 1.6850e-04 -7.9355e-06 7.9355e-06   0.3100  0.0000  0.0000  1.2781  17320.7      380  '1T_pow'
      5  3.0300 -0.1670  0.1670  0.7562 -0.1301  0.1301 1.2223e-04 -5.9047e-06 5.9047e-06   0.3100  0.0000  0.0000  1.2848  10531.7      244  '1T_pow'
      6  3.5389 -0.1843  0.1843  0.9231 -0.1151  0.1151 1.3813e-04 -4.7691e-06 4.7691e-06   0.3100  0.0000  0.0000  0.9790  10468.3      229  '1T_pow'
      7  3.5147 -0.1407  0.1407  0.6263 -0.0733  0.0733 1.6822e-04 -4.4543e-06 4.4543e-06   0.3100  0.0000  0.0000  0.9032  11276.2      228  '1T_pow'
      8  3.8677 -0.1375  0.1375  0.8675 -0.0839  0.0839 2.1821e-04 -5.4076e-06 5.4076e-06   0.3100  0.0000  0.0000  1.0249  14128.8      254  '1T_pow'
      9  4.1297 -0.1285  0.1285  0.8018 -0.0749  0.0749 2.2470e-04 -4.9286e-06 4.9286e-06   0.3100  0.0000  0.0000  0.9056  14524.4      261  '1T_pow'
     10  3.8597 -0.1244  0.1244  0.7078 -0.0613  0.0613 2.6661e-04 -5.3419e-06 5.3419e-06   0.3100  0.0000  0.0000  1.2064  16649.3      280  '1T_pow'
     11  3.9987 -0.1126  0.1126  0.7733 -0.0614  0.0614 2.9965e-04 -5.6654e-06 5.6654e-06   0.3100  0.0000  0.0000  1.0034  18619.9      290  '1T_pow'    
     12  4.2936 -0.0794  0.0794  0.8517 -0.0618  0.0618 2.4000e-04 -4.2296e-06 4.2296e-06  0.3100  0.0000  0.0000  1.1918  19206.9      295     '1T'
     13  4.0075 -0.1028  0.1028  0.9953 -0.0902  0.0902 1.2696e-04 -3.2509e-06 3.2509e-06  0.3100  0.0000  0.0000  1.1138  10677.4      217     '1T'
     14  4.1752 -0.1064  0.1064  0.8749 -0.0825  0.0825 1.2902e-04 -3.0636e-06 3.0636e-06  0.3100  0.0000  0.0000  1.2260  10594.4      217     '1T'
     15  4.2112 -0.1011  0.1011  0.9858 -0.0909  0.0909 1.2738e-04 -3.1881e-06 3.1881e-06  0.3100  0.0000  0.0000  1.0871  11156.6      225     '1T'
     16  4.1994 -0.1003  0.1003  0.9962 -0.0892  0.0892 1.3076e-04 -3.2038e-06 3.2038e-06  0.3100  0.0000  0.0000  1.0044  11474.4      227     '1T'
     17  4.2323 -0.1016  0.1016  0.9427 -0.0861  0.0861 1.2874e-04 -3.0998e-06 3.0998e-06  0.3100  0.0000  0.0000  1.2068  11370.5      226     '1T'
     18  4.1016 -0.0952  0.0952  0.8670 -0.0764  0.0764 1.4683e-04 -3.2707e-06 3.2707e-06  0.3100  0.0000  0.0000  1.0327  12859.0      242     '1T'
     19  4.1044 -0.0994  0.0994  0.7430 -0.0697  0.0697 1.4622e-04 -3.1408e-06 3.1408e-06  0.3100  0.0000  0.0000  1.0660  12559.8      236     '1T'
     20  4.2736 -0.0944  0.0944  1.0281 -0.0870  0.0870 1.3597e-04 -3.1781e-06 3.1781e-06  0.3100  0.0000  0.0000  1.0416  12723.2      244     '1T'
     21  4.2643 -0.0915  0.0915  0.9339 -0.0757  0.0757 1.5301e-04 -3.2129e-06 3.2129e-06  0.3100  0.0000  0.0000  0.9673  13954.8      254     '1T'
     22  4.2574 -0.0947  0.0947  0.8236 -0.0736  0.0736 1.5031e-04 -3.2087e-06 3.2087e-06  0.3100  0.0000  0.0000  0.8630  13445.0      247     '1T'
     23  4.2453 -0.0963  0.0963  0.7013 -0.0638  0.0638 1.6003e-04 -3.1157e-06 3.1157e-06  0.3100  0.0000  0.0000  1.1028  14029.4      254     '1T'
     24  4.4295 -0.0933  0.0933  0.8771 -0.0759  0.0759 1.4954e-04 -3.1319e-06 3.1319e-06  0.3100  0.0000  0.0000  1.1411  13835.0      251     '1T'
     25  4.2098 -0.0906  0.0906  0.7938 -0.0673  0.0673 1.6476e-04 -3.2794e-06 3.2794e-06  0.3100  0.0000  0.0000  1.3538  14915.7      266     '1T'
     26  4.5681 -0.0916  0.0916  0.8277 -0.0691  0.0691 1.6416e-04 -3.1108e-06 3.1108e-06  0.3100  0.0000  0.0000  1.1832  15187.0      268     '1T'
     27  4.5984 -0.0928  0.0928  0.8103 -0.0717  0.0717 1.5705e-04 -3.0953e-06 3.0953e-06  0.3100  0.0000  0.0000  1.0956  14586.2      264     '1T'
