# 
# Extracted radial surface brightness profile
#  
# SB [counts/s/cm^2/arcsec^2] vs. R [arcsec]
#  
# Date       : Tue Aug 16 15:05:32 2016
# Input file : cygnus_tot_img.fits
# Exp. file  : cygnus_tot_filt_wedgeA_emap.fits
# Bgd. file  : cygnus_tot_all_bmap.fits
# Binmap file: cygA_sn100_radial_binmap.fits
# Exp. time  :            1
# Sky X      :        4067.6845
# Sky Y      :        4029.3591
# X Centroid :       2641.62
# Y Centroid :       2734.39
# Min. counts:        10000
# Pixel scale:       0.49200000
#  
        Radius1      Radius2   SB              SBError         BGRD            BGRDError           AREA    
       32.964       33.456     7.08696E-07     6.05325E-09     6.07831E-09     5.60596E-10     7.77025E+01
       33.456       33.948     6.74121E-07     5.91676E-09     6.07476E-09     5.61668E-10     7.77025E+01
       33.948       34.440     6.55034E-07     5.84805E-09     5.94353E-09     5.57060E-10     7.74605E+01
       34.440       34.932     6.52065E-07     5.72097E-09     5.69093E-09     5.34461E-10     8.01232E+01
       34.932       35.424     6.14191E-07     5.55562E-09     5.93265E-09     5.46016E-10     8.08494E+01
       35.424       35.916     5.99112E-07     5.40355E-09     5.50580E-09     5.18007E-10     8.30280E+01
       35.916       36.408     5.77608E-07     5.28185E-09     5.80106E-09     5.29326E-10     8.42383E+01
       36.408       36.900     5.61270E-07     5.21238E-09     5.25526E-09     5.04368E-10     8.39962E+01
       36.900       37.392     5.46510E-07     5.09291E-09     5.35693E-09     5.04226E-10     8.54486E+01
       37.392       37.884     5.28603E-07     5.00018E-09     5.39527E-09     5.05159E-10     8.61748E+01
       37.884       38.376     5.13646E-07     4.81920E-09     5.43570E-09     4.95759E-10     8.98057E+01
       38.376       38.868     4.99291E-07     4.80889E-09     5.10409E-09     4.86213E-10     8.76272E+01
       38.868       39.360     4.92737E-07     4.70577E-09     5.22619E-09     4.84636E-10     9.02899E+01
       39.360       39.852     4.91728E-07     4.66790E-09     5.26810E-09     4.83155E-10     9.15002E+01
       39.852       40.344     4.70164E-07     4.57593E-09     5.16021E-09     4.79389E-10     9.12581E+01
       40.344       40.836     4.65186E-07     4.46100E-09     4.97298E-09     4.61240E-10     9.44050E+01
       40.836       41.328     4.54488E-07     4.41105E-09     4.87726E-09     4.56950E-10     9.44050E+01
       41.328       41.820     4.34777E-07     4.25904E-09     4.72551E-09     4.44021E-10     9.68256E+01
       41.820       42.312     4.31246E-07     4.23381E-09     4.88753E-09     4.50727E-10     9.70677E+01
       42.312       43.296     4.03673E-07     2.86791E-09     4.83278E-09     3.13797E-10     1.97282E+02
       43.296       44.280     3.85471E-07     2.75773E-09     4.58482E-09     3.00758E-10     2.03092E+02
       44.280       45.264     3.62064E-07     2.64569E-09     4.53373E-09     2.96056E-10     2.06723E+02
       45.264       46.248     3.50493E-07     2.58002E-09     4.47684E-09     2.91587E-10     2.09627E+02
       46.248       47.232     3.37764E-07     2.49017E-09     4.34074E-09     2.82295E-10     2.15921E+02
       47.232       48.216     3.17449E-07     2.37938E-09     4.34799E-09     2.78465E-10     2.21489E+02
       48.216       49.200     3.03940E-07     2.30609E-09     4.25474E-09     2.72846E-10     2.25120E+02
       49.200       50.184     2.93408E-07     2.24486E-09     4.16132E-09     2.67343E-10     2.28508E+02
       50.184       51.168     2.81648E-07     2.17212E-09     4.36273E-09     2.70340E-10     2.34318E+02
       51.168       52.152     2.67574E-07     2.09838E-09     4.23887E-09     2.64111E-10     2.37707E+02
       52.152       53.136     2.56061E-07     2.02643E-09     4.17227E-09     2.58670E-10     2.43032E+02
       53.136       54.120     2.44937E-07     1.95121E-09     4.03561E-09     2.50456E-10     2.50052E+02
       54.120       55.104     2.32209E-07     1.89251E-09     3.95290E-09     2.46920E-10     2.51504E+02
       55.104       56.088     2.19265E-07     1.83667E-09     4.04181E-09     2.49365E-10     2.51989E+02
       56.088       57.072     2.01383E-07     1.74190E-09     3.97917E-09     2.44854E-10     2.58040E+02
       57.072       58.056     2.02327E-07     1.74394E-09     4.03160E-09     2.46175E-10     2.58766E+02
       58.056       59.040     1.90421E-07     1.68205E-09     4.05751E-09     2.45534E-10     2.61913E+02
       59.040       60.024     1.83792E-07     1.62635E-09     3.87522E-09     2.36156E-10     2.70385E+02
       60.024       61.008     1.75437E-07     1.57243E-09     3.83571E-09     2.32506E-10     2.76195E+02
       61.008       61.992     1.69469E-07     1.54113E-09     3.95588E-09     2.35460E-10     2.77405E+02
       61.992       62.976     1.63359E-07     1.47977E-09     3.86193E-09     2.27523E-10     2.90235E+02
       62.976       63.960     1.55279E-07     1.43759E-09     3.79783E-09     2.24825E-10     2.92413E+02
       63.960       64.944     1.47343E-07     1.38848E-09     3.90004E-09     2.25897E-10     2.97255E+02
       64.944       65.928     1.42829E-07     1.34954E-09     3.80618E-09     2.20305E-10     3.05485E+02
       65.928       66.912     1.40417E-07     1.33834E-09     3.80089E-09     2.20190E-10     3.05243E+02
       66.912       67.896     1.36798E-07     1.31119E-09     3.79216E-09     2.18308E-10     3.10326E+02
       67.896       68.880     1.33995E-07     1.28610E-09     3.72406E-09     2.14406E-10     3.15894E+02
       68.880       69.864     1.31072E-07     1.26019E-09     3.75336E-09     2.13252E-10     3.22429E+02
       69.864       70.848     1.28192E-07     1.24277E-09     3.69988E-09     2.11132E-10     3.24608E+02
       70.848       71.832     1.23571E-07     1.20852E-09     3.67191E-09     2.08325E-10     3.31870E+02
       71.832       73.308     1.19367E-07     9.65971E-10     3.59460E-09     1.67628E-10     5.01799E+02
       73.308       74.784     1.13275E-07     9.31365E-10     3.53605E-09     1.64555E-10     5.11723E+02
       74.784       76.260     1.10202E-07     9.07113E-10     3.59183E-09     1.63766E-10     5.23826E+02
       76.260       77.736     1.08423E-07     8.87282E-10     3.57248E-09     1.61059E-10     5.38108E+02
       77.736       79.212     1.02304E-07     8.58425E-10     3.57683E-09     1.60511E-10     5.41497E+02
       79.212       80.688     9.89877E-08     8.33066E-10     3.49098E-09     1.56445E-10     5.55053E+02
       80.688       82.164     9.74961E-08     8.19759E-10     3.46643E-09     1.54573E-10     5.63283E+02
       82.164       83.640     9.34387E-08     7.92850E-10     3.50150E-09     1.53481E-10     5.76354E+02
       83.640       85.116     9.01070E-08     7.71754E-10     3.52622E-09     1.52670E-10     5.85795E+02
       85.116       86.592     8.74799E-08     7.52712E-10     3.40810E-09     1.48570E-10     5.96688E+02
       86.592       88.068     8.50693E-08     7.35216E-10     3.40602E-09     1.47113E-10     6.06128E+02
       88.068       89.544     8.38304E-08     7.23133E-10     3.40197E-09     1.45674E-10     6.15811E+02
       89.544       91.020     8.15397E-08     7.06880E-10     3.38791E-09     1.44088E-10     6.25735E+02
