# Fit results (zeros indicate that no fitting was performed)
# Reg_no. kT1 kT1_loerr kT1_hierr Z1 Z1_loerr Z1_hierr norm1 norm1_loerr norm1_hierr nH_Gal nH_loerr nH_hierr red_chisq total_counts num_bins model
     33  8.0174 -0.2306  0.2322  0.3118 -0.0453  0.0458 4.9225e-04 -5.2610e-06 5.2692e-06  0.3100  0.0000  0.0000  1.1639  77474.9      436     '1T'
     34  8.0903 -0.2290  0.2303  0.3049 -0.0450  0.0457 5.0179e-04 -5.3512e-06 5.3439e-06  0.3100  0.0000  0.0000  1.1417  79064.0      441     '1T'
     35  8.1422 -0.2301  0.2313  0.3181 -0.0464  0.0470 5.0275e-04 -5.4456e-06 5.4563e-06  0.3100  0.0000  0.0000  1.0765  79104.3      440     '1T'
     36  7.9587 -0.2330  0.2343  0.2931 -0.0455  0.0463 4.9488e-04 -5.4020e-06 5.4008e-06  0.3100  0.0000  0.0000  1.2592  78051.2      440     '1T'
     37  8.3706 -0.2421  0.2434  0.2765 -0.0483  0.0488 4.8021e-04 -5.3029e-06 5.3066e-06  0.3100  0.0000  0.0000  0.9954  75885.3      444     '1T'
     38  8.0067 -0.2406  0.2422  0.2422 -0.0454  0.0461 5.0391e-04 -5.4756e-06 5.4635e-06  0.3100  0.0000  0.0000  1.2448  77677.5      443     '1T'
     39  8.2432 -0.2405  0.2420  0.2267 -0.0465  0.0470 5.2212e-04 -5.6606e-06 5.6743e-06  0.3100  0.0000  0.0000  1.1933  79766.6      443     '1T'
     40  8.4984 -0.2449  0.3507  0.2227 -0.0481  0.0489 5.1573e-04 -5.6555e-06 5.6494e-06  0.3100  0.0000  0.0000  1.1327  79544.7      443     '1T'
     41  8.3774 -0.2554  0.2728  0.2109 -0.0500  0.0505 4.9983e-04 -5.6270e-06 5.6235e-06  0.3100  0.0000  0.0000  1.1873  76012.1      443     '1T'
     42  7.9699 -0.2497  0.2510  0.2213 -0.0478  0.0485 5.1236e-04 -5.8306e-06 5.8273e-06  0.3100  0.0000  0.0000  1.1383  77610.6      443     '1T'
     43  7.9921 -0.2561  0.2580  0.1713 -0.0472  0.0479 5.1098e-04 -5.7662e-06 5.7481e-06  0.3100  0.0000  0.0000  1.2126  77327.6      444     '1T'
     44  7.9769 -0.2577  0.2596  0.1939 -0.0493  0.0499 5.0679e-04 -5.8880e-06 5.8871e-06  0.3100  0.0000  0.0000  1.2503  77332.7      444     '1T'
     45  8.1117 -0.2590  0.2604  0.2299 -0.0518  0.0528 5.0384e-04 -6.0230e-06 6.0111e-06  0.3100  0.0000  0.0000  1.1936  77160.8      444     '1T'
     46  8.2460 -0.2655  0.2671  0.2230 -0.0543  0.0552 4.8927e-04 -6.0078e-06 6.0034e-06  0.3100  0.0000  0.0000  1.1836  75105.6      444     '1T'
     47  8.1871 -0.2658  0.2675  0.1915 -0.0534  0.0541 5.1149e-04 -6.1761e-06 6.1876e-06  0.3100  0.0000  0.0000  1.3757  78097.4      444     '1T'
     48  8.0191 -0.2717  0.2739  0.1860 -0.0539  0.0548 5.0209e-04 -6.2040e-06 6.1755e-06  0.3100  0.0000  0.0000  1.3145  76730.6      444     '1T'
     49  8.0872 -0.2773  0.2799  0.1533 -0.0546  0.0553 5.0142e-04 -6.2774e-06 6.2692e-06  0.3100  0.0000  0.0000  1.4810  76766.3      444     '1T'
     50  7.2611 -0.2738  0.2758  0.2012 -0.0513  0.0522 4.9474e-04 -6.2386e-06 6.2297e-06  0.3100  0.0000  0.0000  1.3657  76073.5      444     '1T'
     51  7.3772 -0.2772  0.2781  0.2513 -0.0552  0.0566 4.8849e-04 -6.4663e-06 6.4586e-06  0.3100  0.0000  0.0000  1.5927  76141.6      444     '1T'
     52  7.3550 -0.2810  0.2826  0.2319 -0.0555  0.0566 5.0005e-04 -6.5817e-06 6.5746e-06  0.3100  0.0000  0.0000  1.4903  77308.0      444     '1T'
     53  6.7855 -0.1912  0.3349  0.2764 -0.0551  0.0563 4.9379e-04 -6.2694e-06 6.8734e-06  0.3100  0.0000  0.0000  1.6610  76199.6      444     '1T'
     54  6.8258 -0.2067  0.3864  0.1473 -0.0554  0.0537 5.1602e-04 -7.3591e-06 6.9835e-06  0.3100  0.0000  0.0000  1.9064  75867.3      444     '1T'
     55  6.8107 -0.2118  0.3286  0.1604 -0.0552  0.0557 5.1926e-04 -7.2511e-06 7.2477e-06  0.3100  0.0000  0.0000  1.7790  75496.9      444     '1T'
     56  6.5319 -0.2073  0.2087  0.2062 -0.0550  0.0561 5.3598e-04 -7.7964e-06 7.8720e-06  0.3100  0.0000  0.0000  1.8294  77137.5      444     '1T'
     57  6.6221 -0.2194  0.2233  0.1682 -0.0571  0.0588 5.4592e-04 -8.1377e-06 8.1143e-06  0.3100  0.0000  0.0000  2.2757  75955.6      444     '1T'
     58  6.1969 -0.2227  0.2262  0.1424 -0.0540  0.0550 5.7520e-04 -8.7575e-06 8.8265e-06  0.3100  0.0000  0.0000  2.3762  76450.5      444     '1T'
     59  5.9074 -0.2226  0.2235  0.2819 -0.0597  0.0619 5.7229e-04 -9.6404e-06 9.6673e-06  0.3100  0.0000  0.0000  2.6343  76174.2      444     '1T'
     60  5.8462 -0.1461  0.1461  0.2997 -0.0404  0.0404 6.0083e-04 -6.6601e-06 6.6601e-06  0.3100  0.0000  0.0000  3.1790  76545.6      444     '1T'
     61  5.3885 -0.1078  0.1078  0.3936 -0.0437  0.0437 6.6402e-04 -7.9564e-06 7.9564e-06  0.3100  0.0000  0.0000  4.4013  79774.1      444     '1T'
     62  0.8313 -0.0129  0.0129  0.2199 -0.0110  0.0110 1.0191e-03 -3.7687e-05 3.7687e-05  0.3100  0.0000  0.0000  5.8728  52001.1      444     '1T'
