Radius1 | Radius2 | SB  |   SBError | BGRD |      BGRDError | BinNo
              355.224 |               360.636 |         5.80512747164e-09 | 7.61780325466e-11 |            3.04177472364e-09 |  5.5142621269e-11 |         50
              360.636 |                366.54 |         5.73509849136e-09 | 7.33434828471e-11 |            3.04978801836e-09 | 5.34842520019e-11 |         51
               366.54 |               372.444 |         5.46103070479e-09 | 7.05668810587e-11 |            3.07669537171e-09 | 5.29670607899e-11 |         52
              372.444 |               377.856 |          5.5921970756e-09 | 7.36702462694e-11 |            3.08516878354e-09 | 5.47192759716e-11 |         53
              377.856 |               383.268 |          5.4760889138e-09 | 7.23406906858e-11 |            3.06733932906e-09 | 5.41412537059e-11 |         54
              383.268 |                388.68 |          5.2789600217e-09 | 6.99293095599e-11 |             3.0775487344e-09 | 5.33933932327e-11 |         55
               388.68 |               394.584 |         5.10232865441e-09 | 6.55806871166e-11 |             3.1101849348e-09 | 5.12017566267e-11 |         56
              394.584 |               400.488 |         5.14618372072e-09 | 6.56840868521e-11 |            3.10923619561e-09 | 5.10557169906e-11 |         57
              400.488 |                 405.9 |         5.19509224888e-09 | 6.84547801486e-11 |            3.07909917383e-09 | 5.27010168397e-11 |         58
                405.9 |               411.804 |         4.96917062425e-09 | 6.35802872127e-11 |            3.09755970956e-09 | 5.01984574335e-11 |         59
              411.804 |               417.216 |         5.23179596936e-09 | 6.76541049554e-11 |            3.10210122074e-09 | 5.20950827106e-11 |         60
              417.216 |               422.628 |         5.00432045429e-09 | 6.59479712754e-11 |            3.08503974152e-09 | 5.17796670414e-11 |         61
              422.628 |                428.04 |         4.83937340859e-09 | 6.42938788189e-11 |            3.10451465764e-09 | 5.14958126684e-11 |         62
               428.04 |               433.944 |         4.55339903375e-09 | 5.96570605629e-11 |            3.08524007149e-09 | 4.91064429928e-11 |         63
              433.944 |                440.34 |         4.36249016076e-09 | 5.60762749327e-11 |            3.08425220199e-09 | 4.71505615348e-11 |         64
               440.34 |               446.736 |         4.35867461025e-09 | 5.67722077222e-11 |            3.11804622645e-09 | 4.80175308539e-11 |         65
              446.736 |                452.64 |         4.52435979122e-09 | 6.02125638802e-11 |            3.09558548994e-09 | 4.98058031262e-11 |         66
               452.64 |               459.036 |         4.26678166959e-09 | 5.64021542488e-11 |            3.13453439609e-09 | 4.83428224856e-11 |         67
              459.036 |               465.432 |         4.32785347613e-09 | 5.67973634946e-11 |            3.11934351267e-09 | 4.82195864427e-11 |         68
              465.432 |               471.828 |         4.10673632117e-09 | 5.45383260266e-11 |            3.08464554602e-09 | 4.72667785805e-11 |         69
              471.828 |               478.224 |         4.12823768403e-09 | 5.35316880409e-11 |             3.0743264635e-09 | 4.61959146025e-11 |         70
              478.224 |                484.62 |         4.11591410108e-09 | 5.33876884091e-11 |            3.04931762218e-09 | 4.59525145184e-11 |         71
               484.62 |               491.016 |         4.00532089749e-09 |  5.3079440601e-11 |            3.08586519455e-09 | 4.65903688972e-11 |         72
              491.016 |               497.904 |         3.87820919123e-09 |  5.0508058362e-11 |            3.09177942269e-09 |  4.5097172193e-11 |         73
              497.904 |               504.792 |         3.75749696088e-09 |  4.9555932932e-11 |            3.07231945417e-09 | 4.48104714609e-11 |         74
              504.792 |                511.68 |         3.81402987487e-09 | 4.98322774489e-11 |            3.07183655683e-09 | 4.47216423513e-11 |         75
               511.68 |               518.568 |         3.74840600969e-09 | 4.96292578642e-11 |            3.07685057456e-09 | 4.49642840463e-11 |         76
              518.568 |               525.456 |          3.7557004469e-09 | 4.96061987708e-11 |            3.07290598759e-09 | 4.48709324961e-11 |         77
              525.456 |               532.344 |           3.705729177e-09 | 4.92911162567e-11 |            3.06438070714e-09 | 4.48232304595e-11 |         78
              532.344 |               539.724 |          3.5593851778e-09 | 4.69806007667e-11 |            3.07879246479e-09 | 4.36939475743e-11 |         79
              539.724 |               547.596 |         3.45112157588e-09 | 4.47780197431e-11 |            3.04842106914e-09 | 4.20845039031e-11 |         80
              547.596 |               555.468 |         3.20539498901e-09 | 4.26848020974e-11 |            3.06705306781e-09 | 4.17535235148e-11 |         81
              555.468 |                563.34 |         3.25662561926e-09 |  4.2984589387e-11 |            3.04162004123e-09 | 4.15414214026e-11 |         82
               563.34 |               571.704 |         3.16233632233e-09 | 4.14110557253e-11 |            3.04895407086e-09 | 4.06619052589e-11 |         83
              571.704 |               580.068 |         3.19232133768e-09 | 4.19593938324e-11 |            3.07997824584e-09 | 4.12144718005e-11 |         84
