 Radius1 | Radius2 | SB |   SBError | BGRD |      BGRDError | BinNo 
               293.232 |               306.516 |         8.07340201232e-09 | 2.92761719098e-11 |            2.68512927481e-09 |  1.6883737727e-11 |         49
               306.516 |               320.292 |         7.48343420085e-09 | 2.72740643273e-11 |            2.67036808448e-09 | 1.62923957664e-11 |         50
               320.292 |                334.56 |          6.8159244826e-09 | 2.48109995077e-11 |            2.68141552643e-09 | 1.55619465555e-11 |         51
                334.56 |               349.812 |         6.26018233893e-09 | 2.26215893545e-11 |            2.70311745895e-09 | 1.48649026969e-11 |         52
               349.812 |               366.048 |          5.7401112667e-09 | 2.09038464499e-11 |             2.7173196185e-09 | 1.43825672168e-11 |         53
               366.048 |               383.268 |         5.23113761305e-09 | 1.90629796193e-11 |            2.73852151665e-09 | 1.37927473507e-11 |         54
               383.268 |               401.964 |          4.6104520355e-09 | 1.68568035689e-11 |            2.77208652794e-09 |  1.3070940864e-11 |         55
               401.964 |               422.136 |         4.24601345763e-09 |  1.5375662853e-11 |            2.81628296944e-09 | 1.25222194904e-11 |         56
               422.136 |               444.768 |         3.73861452235e-09 | 1.36785597449e-11 |            2.86621575693e-09 | 1.19767629422e-11 |         57
               444.768 |               470.844 |         3.34915575731e-09 | 1.22075424683e-11 |            2.91806273126e-09 | 1.13948315093e-11 |         58
               470.844 |                 504.3 |         2.80244302829e-09 | 1.02537313913e-11 |            2.93925687286e-09 |  1.0501039438e-11 |         59
                 504.3 |                 553.5 |         2.33635295403e-09 | 8.55553309385e-12 |            2.98439328002e-09 | 9.66954120215e-12 |         60
                 553.5 |               676.008 |         1.81009968512e-09 | 6.62648413427e-12 |            2.98965998587e-09 | 8.51614013326e-12 |         61
               676.008 |         2382.08304951 |         7.79240977489e-10 | 3.11514438979e-12 |            3.49709238774e-09 | 6.59926893992e-12 |         62
