 Bin | Vol (cm^3) | T (kT) | kT_lo  |  kT_hi |  n (cm^-3) |       n_lo |       n_hi | P (erg cm^-3) |       P_lo |       P_hi |      Yparm 
  31 | 1.6284e+71 |  2.573 | 0.2233 | 0.2856 |  0.0005193 | 0.00015972 | 0.00016504 |    2.1405e-12 | 6.8406e-13 | 7.2057e-13 | 3.0651e-07 
  32 | 1.6493e+71 | 2.5431 | 0.2372 | 0.2754 | 0.00055563 | 0.00016957 | 0.00017446 |    2.2637e-12 | 7.2238e-13 | 7.5183e-13 | 3.5735e-07 
  33 | 1.6639e+71 | 2.9255 |  0.296 | 0.3108 | 0.00055093 | 0.00016762 | 0.00017262 |     2.582e-12 |  8.279e-13 | 8.5426e-13 | 3.9768e-07 
  34 | 2.2219e+71 | 2.3839 | 0.2419 | 0.2445 | 0.00051587 | 0.00015745 | 0.00016179 |    1.9701e-12 | 6.3365e-13 | 6.5006e-13 | 2.9388e-07 
  35 | 2.3502e+71 |  2.594 | 0.2522 | 0.3422 | 0.00047494 | 0.00016074 | 0.00016277 |    1.9737e-12 | 6.9499e-13 | 7.2479e-13 | 2.8252e-07 
  36 | 3.0354e+71 |  2.542 | 0.2489 |  0.312 | 0.00044642 | 0.00013986 | 0.00014489 |    1.8179e-12 | 5.9674e-13 | 6.3082e-13 | 2.8645e-07 
  37 | 4.4771e+71 | 2.3354 | 0.3277 | 0.2549 | 0.00037001 | 0.00011847 | 0.00013691 |    1.3843e-12 | 4.8392e-13 | 5.3403e-13 | 2.0545e-07 
  38 | 5.0852e+71 |   2.88 | 0.4369 | 0.3274 | 0.00035352 |  0.0001127 | 0.00013828 |     1.631e-12 | 5.7583e-13 |  6.644e-13 | 2.8138e-07 
  39 | 6.7479e+71 | 2.0532 | 0.1625 | 0.4689 | 0.00033635 | 0.00013298 | 0.00010517 |    1.1063e-12 | 4.4607e-13 | 4.2838e-13 | 1.5937e-07 
  40 | 8.5895e+71 | 2.2313 | 0.4277 | 0.2691 | 0.00027211 | 9.0775e-05 | 0.00012598 |    9.7267e-13 | 3.7423e-13 | 4.6534e-13 | 1.8456e-07 
  41 | 1.1508e+72 | 1.8022 | 0.9112 | 0.1847 | 0.00025191 | 8.4448e-05 | 0.00024681 |    7.2731e-13 | 4.4121e-13 | 7.1646e-13 | 1.3253e-07 
  42 | 1.5897e+72 | 0.9196 | 0.0502 | 0.0515 | 0.00028617 | 9.4455e-05 | 9.9028e-05 |    4.2158e-13 | 1.4104e-13 | 1.4779e-13 | 7.6765e-08 
  43 | 3.1131e+72 | 0.9478 | 0.0539 | 0.0502 | 0.00016476 | 6.8314e-05 |  7.308e-05 |    2.5016e-13 |  1.047e-13 | 1.1175e-13 | 4.1617e-08 
  44 |  6.411e+72 | 0.8273 | 0.0567 | 0.1335 | 0.00016916 | 8.5585e-05 | 6.6812e-05 |     2.242e-13 | 1.1446e-13 | 9.5654e-14 | 5.1444e-08 
  45 | 1.3082e+73 | 0.9433 | 0.0517 | 0.0511 | 0.00010405 | 3.7899e-05 | 3.9693e-05 |    1.5724e-13 | 5.7916e-14 | 6.0585e-14 | 3.7209e-08 
  46 | 3.2995e+73 | 0.8999 | 0.0774 | 0.0488 | 4.1335e-05 | 2.8396e-05 | 2.9385e-05 |     5.959e-14 | 4.1257e-14 | 4.2486e-14 | 1.3832e-08 
